"ID","FullSource"
"Arianoutsou1988","Arianoutsou, M., Kokkini, S. (1988). Vegetation, nutrition and climate data tables. I. Natural vegetation, ecomorphological characters: Greece. Pages 51-52 in R. L. Specht, editor. Mediterranean-type ecosystems, a data source book. Kluwer Academic Press, Dordrecht, The Netherlands."
"Arianoutsou1998","Arianoutsou, M. (1998). Aspects of demography in post-fire Mediterranean plant communities of Greece. Pages 273-295 in P. W. Rundel, G. Montenegro, F. Jaksic, editors. Landscape disturbance and biodiversity in Mediterranean-type ecosystems. Springer-Verlag, Berlin, Germany."
"Arianoutsou2000","Arianoutsou, M., Ne'eman, G. (2000). Post-fire regeneration of natural Pinus halepensis forest in the east Mediterranean basin. Pages 269-289 in G. Ne'eman, L. Trabaud, editors. Ecology, biogeography and management of Pinus halepensis and P. brutia forest ecosystems in the Mediterranean basin. Backhuys Publishers, Leiden, The Netherlands."
"Arianoutsou2010","Arianoutsou, M., Christopoulou, A., Tountas, T., Ganou, E., Kazanis, D., Bazos, I., Kokkoris, I. (2010). Effects of fire on high altitude coniferous forests of Greece. in D. X. Viegas, editor, Book of proceedings of the VIth international conference on forest fire research, Coimbra (electronic edition)"
"Arnan2007","Arnan, X., Rodrigo, A., Retana, J. (2007). Vegetation type and dryness drive the post-fire regeneration of Mediterranean plant communities at regional scale. Journal of Vegetation Science 18: 111-122."
"Arroyo1990","Arroyo, J., Marañón, T. (1990). Community ecology and distributional spectra of Mediterranean shrublands and heathlands in Southern Spain. Journal of Biogeography 17: 163-176."
"Attica2008","Kazanis, D., Arianoutsou, M., Andriopoulos, P. (dkazanis@biol.uoa.gr)"
"Azcarate2002","Azcárate, F. M., Sánchez, A. M., Arqueros, L., Peco, B. (2002). Abundance and habitat segregation in Mediterranean grassland species: the importance of seed weight. Journal of Vegetation Science 13: 159-166."
"Azcarate2010","Azcarate, F.M., Manzano, P., Peco, B. (2010). Testing seed-size predictions in Mediterranean annual grasslands. Seed Science Research 20: 179–188."
"Baeza2001","Baeza, M. J. (2001). Aspecto ecológicos y técnicas de control del combustible (roza y quema controlada) en matorrales con alto riesgo de incendio dominados por Ulex parviflorus (Pourr.). PhD Thesis. Universidad de Alicante, Spain. http://www.cervantesvirtual.com/FichaObra.html?Ref=5920."
"Baeza2002","Baeza, M. J., De Luís, M., Raventós, J., Escarré, A. (2002). Factors influencing fire behaviour in shrublands of different stand ages and the implications for using prescribed burning to reduce wildfire risk. Journal of Environmental Management 65: 199-208."
"Baeza2003","Baeza, M. J., Raventós, J., Escarré, A., Vallejo, V. R. (2003). The effect of shrub clearing on the control of the fire-prone species Ulex parviflorus. Forest Ecology and Management 186: 47-59."
"Baeza2004","Baeza, J. (2004). Mejora de pastizales y control del combustible con gran acumulación de necromasa en áreas cortafuegos. Ecología de la germinación de Ulex parviflorus y gestión de aulagares. Bases para la gestión del matorral en el ZAU de Biar mediante pastoreo controlado.Pages 81-88 in Programa de I+D sobre restauración de la cubierta vegetal. Reunión de coordinación 2004 (technical report)."
"Baeza2006a","Baeza, M. J., Vallejo, V. R. (2006). Ecological mechanisms involved in dormancy breakage in Ulex parviflorus seeds. Plant Ecology 183: 191-205."
"Baeza2006b","Baeza, M. J., Raventós, J., Escarré,  A., Vallejo, V. R. (2006). Fire risk and vegetation structural dynamics in Mediterranean shrubland. Plant Ecology 187: 189-201."
"Baeza2008","Baeza, J., Vallejo, V. R. (2008). Vegetation recovery after fuel management in Mediterranean gorse shrubland. Applied Vegetation Science 1: 151-158."
"Baeza2008b","Baeza, M. J., Roy, J. (2008). Germination of an obligate seeder (Ulex parviflorus) and consequences for wildfire management. Forest Ecology and Management 256: 685-693."
"Baeza2011","Baeza, M. J., Santana, V.M., Pausas, J.G., Vallejo, V.R. (2011). Dinámica del combustible muerto en formaciones vegetales post-fuego. Pages 63-73 in Ezquerra, F.J., Rey, E. (editors). La evolución del Paisaje Vegetal y el uso del fuego en la Cordillera Cantábrica. Junta de Catilla-León, ISBN: 978-84-694-3543-4."
"Baeza2015","Baeza, M. J., Santana, V. M. (2015). Biological significance of dead biomass retention trait in Mediterranean Basin species: an analysis between different successional niches and regeneration strategies as functional groups. Plant Biology 17: 1196–1202."
"Bagaria2012","Bagaria, G., Pino, J., Rodà, F., Guardiola, M. (2012). Species traits weakly involved in plant responses to landscape properties in Mediterranean grasslands. Journal of Vegetation Science 23: 432–442."
"Balestri2004","Balestri, E., Cinelli, F. (2004) Germination and early seedling establishment capacity of Pancratium maritimum L. (Amaryllidaceae) on coastal dunes in the northwestern Mediterranean. Journal of Coastal Research 20: 761–770."
"Ballesteros2015","Ballesteros, D., Meloni, F., Bacchetta, G. (editors) (2015). Manual for the propagation of selected Mediterranean native species. EcoPlantMed Project publication, http://ecoplantmed.eu/en/publications/propagation_manual"
"Ballini1992","Ballini, C. (1992). Écophysiologie de la germination des graines d'Ulex parviflorus Pourr. Bulletin d’Ecologie 23: 119-130."
"Barberis2003","Barberis, A., Dettori, S., Filigheddu, M. R. (2003). Management problems in Mediterranean cork oak forests: post-fire recovery. Journal of Arid Environments 54: 565-569."
"Bastida2002","Bastida, F., Talavera, S. (2002). Temporal and spatial patterns of seed dispersal in two Cistus species (Cistaceae). Annals of Botany 89: 427-434."
"Bastida2009","Bastida, F., Talavera, S., Ortiz, P. L., Arista, M. (2009). The interaction between Cistaceae and a highly specific seed-harvester ant in a Mediterranean scrubland. Plant Biology 11: 46-56."
"Battisti2003","Battisti, A., Cantini, R., Rouault, G., Roques, A. (2003). Serotinous cones of Cupressus sempervirens provide viable seeds in spite of high seed predation. Annals of Forest Science 60: 781-787."
"Belhassen1987","Belhassen, E., Pomente, D., Trabaud,  L., Gouyon, P. H. (1987). Recolonisation après incendie chez Thymus vulgaris (L.): résistance des graines aux températures élevées. Acta Oecologica-Oecologia Plantarum 8: 135-141."
"BenHur2015","Ben-Hur, E., Kadmon, R. (2015). An experimental test of the relationship between seed size and competitive ability in annual plants. Oikos 124: 1346–1353."
"Bergholz2017","Bergholz, K., May, F., Ristow, M., Giladi, I., Ziv, Y., & Jeltsch, F. (2017). Two Mediterranean annuals feature high within-population trait variability and respond differently to a precipitation gradient. Basic and Applied Ecology, 25, 48-58."
"Bergmeier1997","Bergmeir, E. (1997). Combined effects of fire and grazing on phrygana vegetation - a case study in SW crete (Greece). Ecologia Mediterranea 23(3/4): 1-10"
"Bermeja2008","Madrigal, J., Hernando, C., Guijarro, M. (incendio@inia.es)"
"BernardVerdier2012","Bernard-Verdier, M., Navas, M.-L., Vellend, M., Violle, C., Fayolle, A., Garnier, E. (2012). Community assembly along a soil depth gradient: contrasting patterns of plant trait convergence and divergence in a Mediterranean rangeland. Journal of Ecology 100: 1422–1433."
"Blade2008","Bladé, C., Vallejo, V. R. (2008). Seed mass effects on performance of Pinus halepensis Mill. seedlings sown after fire. Forest Ecology and Management 255: 2362–2372."
"BLlavors2001","Data from Banc de Llavors - Generalitat Valenciana (germoplasm bank of the regional goverment) for the period 1995-2001 and analised by the compilers (J. G. Pausas and S. Paula)."
"Bochet2015","Bochet, E., García-Fayos, P. (2015). Identifying plant traits: A key aspect for species selection in restoration of eroded roadsides in semiarid environments. Ecological Engineering 83: 444-451."
"Bolos1984","Bolòs, O., Vigo, J. (1984-2001). Flora dels Països Catalans. Ed. Barcino, Barcelona, Spain."
"Bolos1990","Bolòs, O., Vigo, J., Masalles, R. M., Ninot, J. M. (1990). Flora manual del Països Catalans, 1st edition. Pòrtic, Barcelona."
"Bonfil2004","Bonfil, C., Cortés, P., Espelta, J. M., Retana, J. (2004). The role of disturbance in the co-existence of the evergreen Quercus ilex and the deciduous Quercus cerrioides. Journal of Vegetation Science 15: 423-430."
"Boydak1985","Boydak, M. (1985). The distribution of Phoenix theophrasti in the Datça Peninsula, Turkey. Biological Conservation 32: 129-135."
"Boydak1995","Boydak, M., Barrow, S. A. (1995). A new locality for Phoenix theophrasti in Turkey: Gölköy-Bödrum. Principes 39: 117-122."
"Boydak2003","Boydak, M. (2003). Regeneration of Lebanon cedar (Cedrus libani A. Rich.) on karstic lands in Turkey. Forest Ecology and Management 178: 231-243."
"Boydak2006","Boydak, M., Dirik, H., Çalikoglu, M. (2006). Biology and sylviculture of Turkish red pine. Lazer Ofset Matbaa Tesisleri San. Tic. Ltd. Sti., Ankara, Turkey."
"Boydak2016","Boydak, M., Caliskan, S. (2016) Effects of heat shock on seed germination of Turkish red pine (Pinus brutia). Bosque 37(2): 327-333. doi: 10.4067/S0717-92002016000200011"
"Broncano1998","Broncano, M. J., Riba, M., Retana, J. (1998). Seed germination and seedling performance of two Mediterranean tree species, holm oak (Quercus ilex L.) and Aleppo pine (Pinus halepensis Mill.): a multifactor experimental approach. Plant Ecology 138: 17-26."
"Buhk2005a","Buhk, C., Sánchez-Gómez, P., Hensen, I. (2005). Plant regeneration mechanisms during early post-fire succession in south-eastern Spain. Feddes Repertorium 116: 392-404."
"Buhk2005b","Buhk, C., Hensen, I. (2005). Lack of hard-seeded species in pre-fire and post-fire seed banks in the region of Murcia (south-eastern Spain). Anales de Biología 27: 29-37."
"Buhk2006a","Buhk, C., Hensen, I. (2006). Fire seeders during early post-fire succession and their quantitative importance in south-eastern Spain. Journal of Arid Environments 66: 193-209."
"Buhk2007","Buhk, C., Meyn, A., Jentsch, A. (2007). The challenge of plant regeneration after fire in the Mediterranean Basin: scientific gaps in our knowledge on plant strategies and evolution traits. Plant Ecology 192: 1-19."
"Buhk2008","Buhk, C., and I. Hensen. 2008. Seed longevity of eight common plant species during early post- fire regeneration in south-eastern Spain – a three years' burial experiment. Plant Species Biology 23:18-24."
"Cabezudo1995","Cabezudo, B., Pérez Latorre, A., Nieto, J. M. (1995). Regeneración de un alcornocal incendiado en el sur de España (Istán. Málaga). Acta Botanica Malacitana 20: 143-151."
"Cakan2006","Çakan, H., Karataþ, Ç. (2006). Interactions between mycorrhizal colonization and plant life forms along the successional gradient of coastal sand dunes in the eastern Mediterranean, Turkey. Ecological Research  21: 301-310."
"Calvo1998a","Calvo, L., Tárrega, R., de Luis, E. (1998). Space-time distribution patterns of Erica australis L. subsp. aragonensis (Willk) after experimental burning, cutting, and ploughing. Plant Ecology 137: 1-12."
"Calvo1998b","Calvo, L., Tárrega, R., de Luis, E. (1998). Twelve years of vegetation changes after fire in an Erica australis community. Pages 123-136 in L. Trabaud, editor. Fire management and landscape ecology. International Association of Wildland Fire, Fairfield, Washington, USA."
"Calvo1999","Calvo, L., Herrero, B., Bravo, F. (1999). The influence of fire on the seed bank in the soil of a Quercus faginea forest (NW Spain). Annals of Forest Science 56: 249-258."
"Calvo2008","Calvo, L., Santalla, S., Valbuena, L., Marcos, E., Tárrega, R., Luis-Calabuig, E. (2008). Post-fire natural regeneration of a Pinus pinaster forest in NW Spain. Plant Ecology 197: 81–90."
"Calvo2016","Calvo, L., Hernández, V., Valbuena, L., Taboada, A. (2016). Provenance and seed mass determine seed tolerance to high temperatures associated to forest fires in Pinus pinaster. Annals of Forest Science 73: 381-391."
"Canadell1991","Canadell, J., Lloret, F., López-Soria, L. (1991). Resprouting vigour of two Mediterranean shrub species after experimental fire treatments. Vegetatio 95: 119-126."
"Canadell1996","Canadell, J., Jackson, R. B., Ehleringer, J. R., Mooney, H. A., Sala, O. E., Schulze, E. D. (1996). Maximum rooting depth of vegetation types at the global scale. Oecologia 108: 583-595."
"Canadell1998","Canadell, J., López-Soria, L. (1998). Lignotuber reserves support regrowth following clipping of two Mediterranean shrubs. Functional Ecology 12: 31-38."
"Cancio2017","Cancio, I., González-Robles, A., Bastida, J. M., Isla, J., Manzaneda, A. J., Salido, T., & Rey, P. J. (2017). Landscape degradation affects red fox (Vulpes vulpes) diet and its ecosystem services in the threatened Ziziphus lotus scrubland habitats of semiarid Spain. Journal of Arid Environments, 145, 24-34."
"Capogna2009","Capogna, F., Persiani, A., Maggi, O., Dowgiallo, G., Puppi, G., Manes, F. (2009). Effects of different fire intensities on chemical and biological soil components and related feedbacks on a Mediterranean shrub (Phillyrea angustifolia L.). Plant Ecology 204: 155-171."
"Carreira1992","Carreira, J. A., Niell, F. X. (1992). Plant nutrient changes in a semi-arid Mediterranean shrubland after fire. Journal of Vegetation Science 3: 457-466."
"Carrio2013","Carrió, E., Güemes, J. (2013). The role of a mixed mating system in the reproduction of a Mediterranean subshrub (Fumana hispidula, Cistaceae). Journal of Plant Research 126: 33–40."
"Carta2017","Carta, A., Skourti, E., Mattana, E., Vandelook, F., Thanos, C. A. (2017). Photoinhibition of seed germination: occurrence, ecology and phylogeny. Seed Science Research 27: 131-153."
"Cartagena2017","Navarro-Cano, J. A., Rodriguez, D. A., Goberna, M., Verdú, M., data from Sierra Minera, La Unión, Cartegena, Murcia. Email: jose.a.navarro@uv.es"
"Carvalho2016","Carvalho, M., Rocha, J., Carnide, V., Martins, S., Mus, M., Amich, F., Almeida, R., Machado, C., Goncalves, B., Bacelar, E., Crespi, A. L. (2016). Biogeographic divergences in the Iberian flora. A morpho-anatomic, ISSR-based, and environmental study of Iberian Buxus sempervirens L. Turkish Journal of Botany 40: 1-16."
"Casal1984","Casal, M., Basanta, M., García-Novo, F. (1984). La regeneración de los montes incendiados en Galicia. Universidad de Santiago de Compostela, Santiago de Compostela, Spain."
"Casals2005","Casals, P., Romanya, J., Vallejo, V. R. (2005). Short-term nitrogen fixation by legume seedlings and resprouts after fire in Mediterranean old-fields. Biogeochemistry 76: 477-501."
"Casals2018","Casals, P., & Rios, A. I. (2018). Burning intensity and low light availability reduce resprouting ability and vigor of Buxus sempervirens L. after clearing. Science of The Total Environment, 627, 403-416."
"Castro1999","Castro, J., Romero-García, A. T. (1999). Dormancy and germination in Cistus clusii (Cistaceae): Effect of biotic and abiotic factors. Revue d'Ecologie (La Terre et la Vie) 54: 19-28."
"CastroDiez2003","Castro-Díez, P., Montserrat-Martí, G., Cornelissen, J. H. C. (2003). Trade-offs between phenology, relative growth rate, life form and seed mass among 22 Mediterranean woody species. Plant Ecology 166: 117–129."
"Castroviejo1986","Castroviejo, S. (editor) (1986–2015). Flora iberica. Plantas vasculares de la península Ibérica e Islas Baleares. Vols. 1-21, Real Jardín Botánico-CSIC, Madrid, Spain [detailed list of volume editors and genera authors at www.floraiberica.org]"
"Catal2009","Çatal, Y. (2009). Increment and growth in Brutian Pine (Pinus brutia Ten.) stands of west Mediterranen region. PhD Thesis, Suleyman Demirel University, Turkey (in Turkish with English abstract)"
"Catalonia2008","Rodrigo, A., Espelta, J. M. (josep.espelta@uab.es)"
"Catav2012","Çatav, S. S., Bekar, I., Ates, B. S., Ergan, G., Oymak, F., Ülker, E. D., Tavsanoglu, Ç. (2012). Germination response of five eastern Mediterranean woodyspecies to smoke solutions derived from various plants. Turkish Journal of Botany 36: 480–487."
"Catav2014","Çatav, S. S., Küçükakyüz, K., Akbas, K., Tavsanoglu, Ç. (2014). Smoke-enhanced seed germination in Mediterranean Lamiaceae. Seed Science Research 24: 257–264."
"Catav2015","Çatav, S.S., Küçükakyüz, K., Tavsanoglu, Ç., Akbas, K. (2015). Effects of aqueous smoke and nitrate treatments on the germination of 12 eastern Mediterranean plants. Annales Botanici Fennici 52: 93-100"
"Catry2006","Catry, F. X., Rego, F. C., Bugalho, M. N., Lopes, T., Silva, J. S., Moreira, F. (2006). Effects of fire on tree survival and regeneration in a Mediterranean Ecosystem. CD-rom in D. X. Viegas, editor. 5th International Conference on Forest Fire Research. Elsevier B.V., Amsterdam, The Netherlands, Figueira da Foz, Portugal."
"Catry2007","Catry, F. X., Bugalho, M. N., Silva, J. S. (2007). Recuperação da Floresta após o fogo. O caso da Tapada Nacional de Mafra, Lisboa."
"Catry2009","Catry, F. X., Moreira, F., Duarte, I., Acácio, V. (2009). Factors affecting post-fire crown regeneration in cork oak (Quercus suber L.) trees. European Journal of Forest Research 128: 231–240."
"Catry2010","Catry, F. X., Rego, F., Moreira, F., Fernandes, F.M., Pausas, J.G. (2010). Post-fire tree mortality in mixed forests of central Portugal. Forest Ecology and Management 206: 1184-1192."
"Catry2012","Catry, F., Moreira, F., Pausas, J.G., Fernandes, P.M., Rego, F., Cardillo, E., Curt T. (2012). Cork Oak vulnerability to fire: the role of bark harvesting, tree characteristics and abiotic factors. PLoS ONE 7(6): e39810."
"Catry2013","Catry, F., Pausas, J., Moreira, F., Fernandes, P., Rego, F. (2013). Post-fire response variability in Mediterranean Basin tree species in Portugal. International Journal of Wildland Fire 22: 919–932."
"Caturla2000","Caturla, R. N., Raventós, J., Guàrdia, R., Vallejo, V. R. (2000). Early post-fire regeneration dynamics of Brachypodium retusum Pers. (Beauv.) in old fields of the Valencia region (eastern Spain). Acta Oecologica 21: 1-12."
"CavenderBares2005","Cavender-Bares, J., Cortes, P., Rambal, S., Joffre, R., Miles, B., Rocheteau, A. (2005). Summer and winter sensitivity of leaves and xylem to minimum freezing temperatures: a comparison of co-occurring Mediterranean oaks that differ in leaf lifespan. New Phytologist 168: 597-612."
"CCatalonia2008","Espelta, J. M., Rodrigo, A. (anselm.rodrigo@uab.es)"
"Cengiz1993","Cengiz, Y. (1993). Heat and ash effect on germination ability and subsequent seedling growth of Pinus brutia Ten. Seeds. Pages 90-98 in Proceedings of International Symposium on Pinus brutia Ten., Ministry of Forestry of Turkey, October 18th-23th, Marmaris, Turkey."
"Cerabolini2003","Cerabolini, B., Ceriani, R. M., Caccianiga, M., Andreis, R. D., Raimondi, B. (2003). Seed size, shape and persistence in soil: a test on Italian flora from Alps to Mediterranean coasts. Seed Science Research 13: 75-85."
"Cerda2002","Cerdà, A., García-Fayos, P. (2002). The influence of seed size and shape on their removal by water erosion. Catena 48: 293-301."
"Cerda2017","Cerdà, A., Borja, M. E. L., Úbeda, X., Martínez-Murillo, J. F., Keesstra, S. (2017). Pinus halepensis M. versus Quercus ilex subsp. Rotundifolia L. runoff and soil erosion at pedon scale under natural rainfall in Eastern Spain three decades after a forest fire. Forest Ecology and Management 400: 447-456."
"Cespedes2012","Céspedes, B., Torres, I., Luna, B., Pérez, B., Moreno, J. (2012). Soil seed bank, fire season, and temporal patterns of germination in a seeder-dominated Mediterranean shrubland. Plant Ecology 213: 383–393."
"Cespedes2014","Céspedes, B., Luna, B., Pérez, B., Urbieta, I. R., Moreno, J. M. (2014). Burning season effects on the short-term post-fire vegetation dynamics of a Mediterranean heathland. Applied Vegetation Science 17: 86–96."
"Cespedes2014b","Céspedes, B., Torres, I., Pérez, B., Luna, B., Moreno, J. M. (2014). Burning season does not affect post-fire regeneration but fire alters the balance of the dominant species in a seeder-dominated Mediterranean shrubland. Applied Vegetation Science 17: 711–725."
"Cetin2013","Çetin, B., Boydak, M. (2013). The effect of heating process on Turkish Red Pine (Pinus brutia Ten.) seeds. Düzce University Journal of Forestry 9: 43-54."
"Chaideftou2006","Chaideftou, E., Thanos, C.A., Dimopoulos, P. (2006) Plant functional traits in relation to seedling recruitment and light conditions in sub-Mediterranean oak forests of Greece. Pages 597-601 in Proceedings of IV BBC – Sofia, 2006."
"Chamorro2017a","Chamorro, D., Luna, B., Ourcival, J. M., Kavgacý, A., Sirca, C., Mouillot, F., Arianoutsou, M., Moreno, J. M. (2017). Germination sensitivity to water stress in four shrubby species across the Mediterranean Basin. Plant Biology 19: 23-31."
"Chamorro2017b","Chamorro, D., Luna, B., Moreno, J. M. (2017). Germination responses to current and future temperatures of four seeder shrubs across a latitudinal gradient in western Iberia. American Journal of Botany 104: 83-91."
"Charco1999","Charco, J. (1999). El bosque mediterráneo en el norte de África. Agencia Española de Cooperación Internacional, Madrid, Spain."
"Chozas2017","Chozas, S., Correia, O., Santos, A. M., & Hortal, J. (2017). Trait dynamics of Mediterranean xerophytic shrub communities growing on stabilised inland dunes respond to nutrient and aridity gradients. Plant Ecology & Diversity, 10(2-3), 115-126."
"Clemente1996","Clemente, A. S., Rego, F. C., Correia, O. A. (1996). Demographic patterns and productivity of post-fire regeneration in Portuguese Mediterranean maquis. International Journal of Wildland Fire 6: 5-12."
"Clemente2004","Clemente, A. S., Rego, F. C., Correia, O. (2004). Padrões de sobrevivência de sementes em grupos funcionais de resposta ao fogo. Revista de Biologia, Lisboa 22:123-132."
"Clemente2007","Clemente, A. S., Rego, F. C., Correia, O. A. (2007). Seed bank dynamics of two obligate seeders, Cistus monspeliensis and Rosmarinus officinalis, in relation to time since fire. Plant Ecology 190: 175–188."
"CMFTD2015","Catalonian Mediterranean Forest Trait Database. By Josep Peñuelas. Taken from TRY database, 2015, https://www.try-db.org/"
"Colak2009","Çolak A.H., Rotherham I.D., Spethmann W. (2009). The Importance of lignotubers in arid-zone and humid-zone ecosystems with particular reference to Rhododendron ponticum L. Arboricultural Journal 32: 67-82."
"Consensus2017","Pausas, J. G., Tavsanoglu, Ç. (juli.g.pausas@uv.es)"
"Copete2011","Copete, E., Herranz, J.M., Copete, M.A., Baskin, J.M. Baskin, C.C. (2011). Non-deep complex morphophysiological dormancy in seeds of the Iberian Peninsula endemic geophyte Merendera montana (Colchicaceae). Seed Science Research 21: 267–281."
"Copete2014","Copete, E., Herranz, J. M., Copete, M. Á., Ferrandis, P. (2014). Interpopulation variability on embryo growth, seed dormancy break, and germination in the endangered Iberian daffodil Narcissus eugeniae (Amaryllidaceae). Plant Species Biology 29: E72-E84."
"Corral1990","Corral, R., Pita, J. M., Pérez-García, F. (1990). Some aspects of seed germination in four species of Cistus L. Seed Science and Technology 18: 321-325."
"Correia2002","Correia, E., Freitas, H. (2002). Drosophyllum lusitanicum, an endangered West Mediterranean endemic carnivorous plant: threats and its ability to control available resources. Botanical Journal of the Linnean Society 140: 383-390."
"Correia2018","Correia, M., Heleno, R., Vargas, P., & Rodríguez-Echeverría, S. (2018). Should I stay or should I go? Mycorrhizal plants are more likely to invest in long-distance seed dispersal than non-mycorrhizal plants. Ecology Letters. Doi: 10.1111/ele.12936"
"Crevillent2017","Navarro-Cano, J. A., Rodriguez, D. A., Goberna, M., Verdú, M., data from Crevillent, Alicante. Email: jose.a.navarro@uv.es"
"Crivellaro2013","Crivellaro, A., Schweingruber, F. H., Christodoulou, C. S., Papachristophorou, T., Tsintides, T., da Da Ros, A. (2013). Atlas of Wood, Bark and Pith Anatomy of Eastern Mediterranean Trees and Shrubs: With a Special Focus on Cyprus. Springer Science & Business Media."
"Cross2017","Cross, A. T., Paniw, M., Ojeda, F., Turner, S. R., Dixon, K. W., Merritt, D. J. (2017). Defining the role of fire in alleviating seed dormancy in a rare Mediterranean endemic subshrub. AoB PLANTS 9: plx036. doi: 10.1093/aobpla/plx036."
"Crosti2006","Crosti, R., Ladd, P. G., Dixon, K. W., Piotto, B. (2006). Post-fire germination: The effect of smoke on seeds of selected species from the central Mediterranean basin. Forest Ecology and Management 221: 306-312."
"Cruz2003a","Cruz, A., Perez, B., Velasco, A., Moreno, J. M. (2003). Variability in seed germination at the interpopulation, intrapopulation and intraindividual levels of the shrub Erica australis in response to fire-related cues. Plant Ecology 169: 93-103."
"Cruz2003b","Cruz, A., Pérez, B., Moreno, J. M. (2003). Resprouting of the mediterranean-type shrub Erica australis with modified lignotuber carbohydrate content. Journal of Ecology 91: 348-356."
"Cuco1987","Cucó, M. L. (1987). Mecanismes de regeneració. Pages 45-62 in J. Terradas, editor. Ecosistemes terrestres. La resposta als incendis i a d'altres pertorbacions. Diputació de Barcelona - Servei del Medi ambient, Barcelona, Spain."
"Cuenca2008","Luna B., Moreno, J. M. (Belen.Luna@uclm.es)"
"Dalaka2006","Dalaka, A., Sgardelis, S. (2006). Life strategies and spatial arrangement of grasses in a Mediterranean ecosystem in Greece. Grass and Forage Science 61: 218-231."
"Daligault1991","Daligault, O. (1991). Caractéristiques physiques des aiguilles de pin. Document PIF1991-12. Laboratoire de Recherches Forestières - Institute National de la Recherche Agronomique, Avignon, France."
